routeID,routeName
0,38
1,38A
2,38B
3,38D
4,46A
5,46E
6,120
7,122
8,7
9,7A
10,7B
11,7D
12,9
13,4
14,155
15,13
16,140
17,40
18,40B
19,40D
20,16
21,16C
22,11
23,1
24,44
25,33E
26,33
27,41
28,41B
29,41C
30,41D
31,40E
32,16D
33,54A
34,150
35,83
36,83A
37,14
38,14C
39,27B
40,116
41,747
42,53
43,123
44,29A
45,32
46,31
47,31A
48,31B
49,130
50,151
51,32X
52,41X
53,27
54,15
55,27A
56,142
57,757
58,61
59,27X
60,33D
61,33X
62,118
63,84X
64,25
65,25A
66,25B
67,26
68,25D
69,25X
70,67
71,67X
72,66
73,66A
74,66B
75,66E
76,66X
77,70
78,51X
79,51D
80,37
81,39
82,39A
83,39X
84,145
85,79A
86,79
87,15B
88,15A
89,15D
90,77A
91,56A
92,47
93,49
94,77X
95,84A
96,42
97,43
98,65B
99,65
100,68A
101,68
102,69
103,68X
104,69X
105,44B
106,84
